cod_estacion,institucion,nombre,comuna,region,latitud,longitud
1,FDF,Azapa1,Arica,Arica y Parinacota,-18.509638889000001,-70.248055554000004
2,FDF,Azapa2,Arica,Arica y Parinacota,-18.520444443999999,-70.232666667000004
3,FDF,Tranque Lautaro,Tierra Amarilla,Atacama,-27.975583332999999,-70
4,FDF,Jotabeche,Tierra Amarilla,Atacama,-27.588611110999999,-70.244722221999993
5,FDF,Hornitos,Tierra Amarilla,Atacama,-27.728888889,-70.196666667000002
6,FDF,Copiapo,Copiapó,Atacama,-27.345833333000002,-70.407777777999996
7,FDF,Bodega,Copiapó,Atacama,-27.343611111000001,-70.372777778
8,FDF,Vallenar,Freirina,Atacama,-28.526305556000001,-70.943083333000004
9,FDF,Alto del Carmen,Alto del Carmen,Atacama,-28.768166666999999,-70.449222222000003
10,FDF,El Palqui,Monte Patria,Coquimbo,-30.746388888999999,-70.936944444000005
11,FDF,Vicuña,Vicuña,Coquimbo,-30.038333333000001,-70.696666667000002
12,FDF,Paihuano,Paiguano,Coquimbo,-30.046944444000001,-70.510833332999994
13,FDF,Recoleta,Ovalle,Coquimbo,-30.490916667,-71.165777778000006
14,FDF,San Julián,Ovalle,Coquimbo,-30.655277777999999,-71.318888888999993
15,FDF,Monte Patria,Monte Patria,Coquimbo,-30.682222222,-70.939444444000003
16,FDF,Combarbalá,Combarbalá,Coquimbo,-31.188333332999999,-70.998888889
17,FDF,Punitaqui,Punitaqui,Coquimbo,-30.78,-71.256111110999996
18,FDF,Illapel,Illapel,Coquimbo,-31.731055556000001,-71.205555555999993
19,FDF,Salamanca,Salamanca,Coquimbo,-31.787388888999999,-70.959611111000001
20,FDF,Cabildo,Cabildo,Valparaíso,-32.362194443999996,-70.819722221999996
21,FDF,Petorca,Cabildo,Valparaíso,-32.396666666999998,-71.029444444000006
22,FDF,SAN ESTEBAN,San Esteban,Valparaíso,-32.750444444000003,-70.557583332999997
24,FDF,Calle Larga,Calle Larga,Valparaíso,-32.870555555999999,-70.646111110999996
25,FDF,Rinconada,Rinconada,Valparaíso,-32.837055556000003,-70.692527777999999
26,FDF,San Felipe,San Felipe,Valparaíso,-32.755333,-70.706917000000004
27,FDF,Putaendo,Putaendo,Valparaíso,-32.593694444,-70.726111110999994
28,FDF,Santa María,Santa María,Valparaíso,-32.749166666999997,-70.660277777999994
29,FDF,Panquehue,Panquehue,Valparaíso,-32.756638889000001,-70.808833332999995
30,FDF,Llayllay,Llaillay,Valparaíso,-32.903333332999999,-70.950555555999998
31,FDF,Catemu,Catemu,Valparaíso,-32.757777777999998,-70.942777778000007
32,FDF,Quillota,Quillota,Valparaíso,-32.892388889000003,-71.206722221999996
33,FDF,La Cruz,La Cruz,Valparaíso,-32.799999999999997,-71.2
34,FDF,Nogales,Nogales,Valparaíso,-32.736388888999997,-71.199166667
35,FDF,Hijuelas,Hijuelas,Valparaíso,-32.847944443999999,-71.067083332999999
36,FDF,Limache,Limache,Valparaíso,-32.994444444000003,-71.260666666999995
37,FDF,Olmué,Olmué,Valparaíso,-33.021944443999999,-71.186388889
38,FDF,Casablanca,Casablanca,Valparaíso,-33.320833333000003,-71.437222222000003
39,FDF,San Diego,Melipilla,Metropolitana,-33.703027777999999,-71.371861111000001
40,FDF,HUECHÚN EX Lampa,Tiltil,Metropolitana,-33.077222222000003,-70.752777777999995
41,FDF,Til til,Tiltil,Metropolitana,-33.121333333000003,-70.834777778000003
42,FDF,Pirque,Pirque,Metropolitana,-33.673888888999997,-70.586944443999997
43,FDF,Buin,Buin,Metropolitana,-33.707361110999997,-70.701555556000002
44,FDF,Melipilla,El Monte,Metropolitana,-33.65,-71.099999999999994
45,FDF,TALAGANTE,Talagante,Metropolitana,-33.673250000000003,-70.921138889000005
46,FDF,LO HERRERA,San Bernardo,Metropolitana,-33.662888889000001,-70.765916666999999
47,FDF,HUELQUEN,Paine,Metropolitana,-33.862083333000001,-70.639194443999997
48,FDF,COLINA,Colina,Metropolitana,-33.218777778000003,-70.715833333000006
49,FDF,Calera de Tango,Calera de Tango,Metropolitana,-33.630555555999997,-70.799166666999994
50,FDF,Chocalan,Melipilla,Metropolitana,-33.725555556000003,-71.209722221999996
51,FDF,Mallarauco,Melipilla,Metropolitana,-33.586666667000003,-70.996111111000005
52,FDF,Curacaví,Curacaví,Metropolitana,-33.438611111,-71.025555556
53,FDF,Alhué,Alhué,Metropolitana,-34.064999999999998,-71.253888888999995
54,FDF,San Pedro,San Pedro,Metropolitana,-33.891388888999998,-71.394166666999993
55,FDF,Isla de Maipo,Isla de Maipo,Metropolitana,-33.763888889,-70.886666667
56,FDF,El Monte,El Monte,Metropolitana,-33.691944444000001,-71.100833332999997
57,FDF,QUINTA TILCOCO,Quinta de Tilcoco,O'Higgins,-34.362000000000002,-70.935277778
58,FDF,SAN FERNANDO,San Fernando,O'Higgins,-34.577833333000001,-70.975527778
59,FDF,STA. BRISILA,Las Cabras,O'Higgins,-34.298080556000002,-71.323800000000006
60,FDF,Chimbarongo,Chimbarongo,O'Higgins,-34.670833332999997,-71.031666666999996
61,FDF,Codegua Norte Ex Rancagua,Codegua,O'Higgins,-34.108888888999999,-70.639583333000004
62,FDF,Graneros Norte,Graneros,O'Higgins,-34.061944443999998,-70.704999999999998
63,FDF,Mostazal,Mostazal,O'Higgins,-34.001666667000002,-70.701666666999998
64,FDF,Codegua,Codegua,O'Higgins,-34.110277777999997,-70.653611111000004
65,FDF,Punta Cortes,Rancagua,O'Higgins,-34.169750000000001,-70.791277777999994
66,FDF,Olivar Alto,Olivar,O'Higgins,-34.203055556000002,-70.824166667
67,FDF,Los Maquis,Malloa,O'Higgins,-34.499722222000003,-70.839722222000006
68,FDF,San Vicente TT,San Vicente,O'Higgins,-34.457777778000001,-71.050555556000006
69,FDF,Coltauco,Coltauco,O'Higgins,-34.237777778000002,-71.004999999999995
70,FDF,Rapel,Las Cabras,O'Higgins,-34.216666666999998,-71.3
71,FDF,Peumo Norte Ex Las Cabras,Peumo,O'Higgins,-34.326944443999999,-71.258888889000005
72,FDF,El Carmen,San Fernando,O'Higgins,-34.608055555999996,-70.974999999999994
74,FDF,Chépica,Chépica,O'Higgins,-34.738611110999997,-71.258055556000002
75,FDF,Nancagua 2,Nancagua,O'Higgins,-34.660833332999999,-71.283611110999999
76,FDF,Santa Cruz,Santa Cruz,O'Higgins,-34.690833333,-71.400000000000006
77,FDF,Lolol,Lolol,O'Higgins,-34.713611110999999,-71.629722221999998
78,FDF,La Estrella Sur Ex Pumanque,La Estrella,O'Higgins,-34.213333333000001,-71.716111111000004
79,FDF,Palmilla,Palmilla,O'Higgins,-34.546666666999997,-71.394999999999996
80,FDF,La Estrella Norte,La Estrella,O'Higgins,-34.213333333000001,-71.716111111000004
81,FDF,Marchigue,Marchihue,O'Higgins,-34.405555556000003,-71.607222222000004
82,FDF,Requinoa,Requínoa,O'Higgins,-34.321666999999998,-70.833693999999994
83,FDF,Tres Esquinas,Molina,Maule,-35.144722221999999,-71.216111111000004
84,FDF,YERBAS BUENAS 2,Yerbas Buenas,Maule,-35.690472221999997,-71.553944443999995
86,FDF,Morza Norte Ex Peteroa,Teno,Maule,-34.835000000000001,-71.024166667000003
88,FDF,Morza,Teno,Maule,-34.851666667000003,-71.020277777999993
89,FDF,Teno,Teno,Maule,-34.878888889000002,-71.165277778000004
90,FDF,Sagrada Familia,Sagrada Familia,Maule,-34.996944444,-71.374166666999997
91,FDF,Rauco,Rauco,Maule,-34.924999999999997,-71.283055555999994
92,FDF,Lontue,Molina,Maule,-35.049722222,-71.248055555999997
93,FDF,Maule,San Javier,Maule,-35.576666666999998,-71.678888889000007
94,FDF,San Rafael,San Rafael,Maule,-35.303611111000002,-71.475833332999997
95,FDF,Pencahue,Pencahue,Maule,-35.455833333000001,-71.772222221999996
97,FDF,Yerbas Buenas,Yerbas Buenas,Maule,-35.743888888999997,-71.573055556
98,FDF,Colbún,Colbún,Maule,-35.662222221999997,-71.453611111000001
99,FDF,Linares 2,Longaví,Maule,-35.932194000000003,-71.566833000000003
100,FDF,Longaví Norte,Longaví,Maule,-36.053611111000002,-71.683333332999993
101,FDF,Longaví Sur,Longaví,Maule,-35.953055556000002,-71.608055555999996
102,FDF,Parral,Parral,Maule,-36.213333333000001,-71.737499999999997
103,FDF,Parral Norte,Retiro,Maule,-36.230277778000001,-71.732222222000004
104,FDF,Villa Alegre,San Javier,Maule,-35.696111111,-71.682222221999993
105,FDF,San Javier,San Javier,Maule,-35.629722221999998,-71.603888889000004
106,FDF,Ñiquén,San Ignacio,Biobío,-36.293611110999997,-71.893611110999998
107,FDF,Coihueco,Coihueco,Biobío,-36.557222222,-71.817222221999998
108,FDF,Pinto,Pinto,Biobío,-36.713333333000001,-71.875555555999995
109,FDF,Trehualemu Ex - San Ignacio Sur,El Carmen,Biobío,-36.920833332999997,-71.893333333000001
110,FDF,San Ignacio,San Ignacio,Biobío,-36.843611111000001,-72.124722222000003
111,FDF,Los Coligues Ex - Chillan Viejo,San Fabián,Biobío,-36.629166667,-72.233333333000004
112,FDF,Bulnes,Bulnes,Biobío,-36.735555556000001,-72.366944443999998
113,FDF,Quillón,Quillón,Biobío,-36.744999999999997,-72.504722221999998
114,FDF,San Nicolás,San Nicolás,Biobío,-36.517777778000003,-72.094444444000004
115,FDF,Renaico,Renaico,Araucanía,-37.726111111000002,-72.604722222000007
116,FDF,Mulchén,Mulchén,Biobío,-37.703611111000001,-72.216944444000006
117,FDF,Negrete,Mulchén,Biobío,-37.595277778000003,-72.466666666999998
118,FDF,Los Angeles,Los Ángeles,Biobío,-37.447222222000001,-72.517222222000001
119,FDF,Las Viñas,Los Ángeles,Biobío,-37.501388888999998,-72.300555556000006
120,FDF,Tierras Nobles,Los Ángeles,Biobío,-37.441944444000001,-72.617777778000004
121,FDF,Collipulli,Collipulli,Araucanía,-38.001111111,-72.245555555999999
122,FDF,Galvarino,Traiguén,Araucanía,-38.359166666999997,-72.709722221999996
123,FDF,Traiguén,Traiguén,Araucanía,-38.357222221999997,-72.547499999999999
